,herb_id,frequency,freq_ratio
0,0.0,4.0,0.00011846586702206426
1,1.0,3.0,8.884940026654821e-05
2,2.0,11.0,0.00032578113431067676
3,3.0,5.0,0.00014808233377758035
4,4.0,2.0,5.923293351103213e-05
5,5.0,16.0,0.00047386346808825705
6,6.0,14.0,0.0004146305345772249
7,7.0,8.0,0.00023693173404412853
8,8.0,37.0,0.0010958092699540946
9,9.0,5.0,0.00014808233377758035
10,10.0,24.0,0.0007107952021323857
11,11.0,1.0,2.9616466755516066e-05
12,12.0,1.0,2.9616466755516066e-05
13,13.0,64.0,0.0018954538723530282
14,14.0,11.0,0.00032578113431067676
15,15.0,1.0,2.9616466755516066e-05
16,16.0,11.0,0.00032578113431067676
17,17.0,4.0,0.00011846586702206426
18,18.0,5.0,0.00014808233377758035
19,19.0,3.0,8.884940026654821e-05
20,20.0,3.0,8.884940026654821e-05
21,21.0,2.0,5.923293351103213e-05
22,22.0,6.0,0.00017769880053309641
23,23.0,23.0,0.0006811787353768696
24,24.0,5.0,0.00014808233377758035
25,25.0,13.0,0.00038501406782170884
26,26.0,5.0,0.00014808233377758035
27,27.0,157.0,0.004649785280616023
28,28.0,385.0,0.011402339700873686
29,29.0,3.0,8.884940026654821e-05
30,30.0,143.0,0.004235154746038797
31,31.0,21.0,0.0006219458018658375
32,32.0,24.0,0.0007107952021323857
33,33.0,75.0,0.002221235006663705
34,34.0,265.0,0.007848363690211758
35,35.0,6.0,0.00017769880053309641
36,36.0,239.0,0.00707833555456834
37,37.0,786.0,0.02327854286983563
38,38.0,141.0,0.0041759218125277655
39,39.0,133.0,0.003938990078483637
40,40.0,13.0,0.00038501406782170884
41,41.0,19.0,0.0005627128683548053
42,42.0,19.0,0.0005627128683548053
43,43.0,44.0,0.001303124537242707
44,44.0,13.0,0.00038501406782170884
45,45.0,15.0,0.000444247001332741
46,46.0,757.0,0.022419665333925663
47,47.0,9.0,0.0002665482007996446
48,48.0,305.0,0.0090330223604324
49,49.0,6.0,0.00017769880053309641
50,50.0,169.0,0.0050051828816822155
51,51.0,7.0,0.00020731526728861246
52,52.0,259.0,0.007670664889678661
53,53.0,8.0,0.00023693173404412853
54,54.0,16.0,0.00047386346808825705
55,55.0,114.0,0.0033762772101288314
56,56.0,6.0,0.00017769880053309641
57,57.0,9.0,0.0002665482007996446
58,58.0,160.0,0.004738634680882571
59,59.0,86.0,0.002547016140974382
60,60.0,4.0,0.00011846586702206426
61,61.0,71.0,0.0021027691396416407
62,62.0,1.0,2.9616466755516066e-05
63,63.0,29.0,0.0008588775359099659
64,64.0,1.0,2.9616466755516066e-05
65,65.0,79.0,0.0023397008736857692
66,66.0,419.0,0.012409299570561232
67,67.0,34.0,0.0010069598696875464
68,68.0,3.0,8.884940026654821e-05
69,69.0,1.0,2.9616466755516066e-05
70,70.0,162.0,0.004797867614393603
71,71.0,3.0,8.884940026654821e-05
72,72.0,11.0,0.00032578113431067676
73,73.0,315.0,0.009329187027987561
74,74.0,1.0,2.9616466755516066e-05
75,75.0,1.0,2.9616466755516066e-05
76,76.0,4.0,0.00011846586702206426
77,77.0,4.0,0.00011846586702206426
78,78.0,6.0,0.00017769880053309641
