,sym_id,frequency,freq_ratio
0,367.0,3589.0,0.10629349918554716
1,363.0,2797.0,0.08283725751517844
2,348.0,2476.0,0.07333037168665778
3,306.0,1988.0,0.05887753590996594
4,274.0,1355.0,0.04013031245372427
5,308.0,1220.0,0.0361320894417296
6,389.0,1183.0,0.035036280171775507
7,299.0,898.0,0.02659558714645343
8,246.0,858.0,0.025410928476232785
9,262.0,853.0,0.025262846142455206
10,286.0,841.0,0.024907448541389012
11,266.0,782.0,0.023160077002813563
12,208.0,738.0,0.02185695246557086
13,314.0,711.0,0.021057307863171924
14,236.0,711.0,0.021057307863171924
15,369.0,678.0,0.020079964460239894
16,290.0,661.0,0.01957648452539612
17,14.0,647.0,0.019161853990818895
18,193.0,644.0,0.019073004590552348
19,376.0,642.0,0.019013771657041316
20,349.0,611.0,0.018095661187620318
21,328.0,576.0,0.017059084851177256
22,217.0,560.0,0.016585221383089
23,276.0,521.0,0.01543017917962387
24,372.0,498.0,0.014749000444247002
25,80.0,498.0,0.014749000444247002
26,222.0,487.0,0.014423219309936324
27,338.0,455.0,0.01347549237375981
28,312.0,453.0,0.013416259440248778
29,259.0,448.0,0.013268177106471197
30,165.0,432.0,0.01279431363838294
31,211.0,422.0,0.01249814897082778
32,241.0,397.0,0.011757737301939878
33,357.0,380.0,0.011254257367096105
34,346.0,347.0,0.010276913964164075
35,283.0,347.0,0.010276913964164075
36,257.0,341.0,0.010099215163630978
37,138.0,337.0,0.009980749296608915
38,269.0,328.0,0.00971420109580927
39,196.0,328.0,0.00971420109580927
40,247.0,314.0,0.009299570561232045
41,305.0,313.0,0.00926995409447653
42,313.0,308.0,0.009121871760698948
43,253.0,297.0,0.008796090626388272
44,303.0,294.0,0.008707241226121723
45,330.0,283.0,0.008381460091811047
46,210.0,282.0,0.008351843625055531
47,293.0,280.0,0.0082926106915445
48,325.0,271.0,0.008026062490744855
49,206.0,271.0,0.008026062490744855
50,383.0,267.0,0.00790759662372279
51,197.0,267.0,0.00790759662372279
52,94.0,257.0,0.0076114319561676295
53,88.0,256.0,0.007581815489412113
54,254.0,253.0,0.007492966089145565
55,202.0,252.0,0.0074633496223900486
56,267.0,243.0,0.007196801421590404
57,147.0,241.0,0.0071375684880793724
58,282.0,240.0,0.007107952021323856
59,344.0,238.0,0.007048719087812824
60,242.0,237.0,0.007019102621057308
61,29.0,231.0,0.006841403820524211
